Random Number,Steps,Cache Hit Percentage
447877,125,0.00%
415918,130,0.00%
426337,174,0.00%
494929,94,0.00%
453149,63,0.00%
464129,169,0.00%
427262,130,0.00%
418732,112,0.00%
459203,94,0.00%
402554,161,0.00%
442071,187,0.00%
432864,42,0.00%
414006,143,0.00%
458303,156,0.00%
496384,58,0.00%
407471,143,0.00%
496510,213,0.00%
431209,218,0.00%
460699,156,0.00%
400524,68,0.00%
467256,107,0.00%
483335,94,0.00%
451799,86,0.00%
466689,169,0.00%
474850,76,0.00%
440687,187,0.00%
424826,125,0.00%
490092,169,0.00%
450706,112,0.00%
462370,200,0.00%
433793,187,0.00%
436409,143,0.00%
416114,135,0.00%
497957,213,0.00%
469164,107,0.00%
469263,244,0.00%
462085,50,0.00%
496427,120,0.00%
487995,182,0.00%
421288,143,0.00%
498981,89,0.00%
430065,249,0.00%
491979,138,0.00%
450813,138,0.00%
426194,174,0.00%
426188,174,0.00%
458285,156,0.00%
422704,50,0.00%
457397,156,0.00%
418983,236,0.00%
461055,200,0.00%
462480,81,0.00%
440144,156,0.00%
412853,81,0.00%
466995,107,0.00%
452821,37,0.00%
453541,125,0.00%
491822,45,0.00%
442912,112,0.00%
442073,187,0.00%
492018,63,0.00%
476705,244,0.00%
478483,76,0.00%
445958,156,0.00%
474662,169,0.00%
447646,94,0.00%
415220,174,0.00%
474573,99,0.00%
481899,120,0.00%
403214,68,0.00%
495861,120,0.00%
418706,174,0.00%
471106,169,0.00%
425665,112,0.00%
469519,81,0.00%
497301,58,0.00%
451853,138,0.00%
427803,156,0.00%
457831,231,0.00%
409250,143,0.00%
484614,138,0.00%
418885,143,0.00%
409556,174,0.00%
424757,99,0.00%
469565,182,0.00%
476551,138,0.00%
477578,76,0.00%
423105,130,0.00%
406198,205,0.00%
420490,104,0.00%
403005,68,0.00%
436042,187,0.00%
435021,143,0.00%
481488,45,0.00%
482000,68,0.00%
447509,156,0.00%
429133,125,0.00%
497220,63,0.00%
422082,81,0.00%
411032,55,0.00%
438260,187,0.00%
455769,81,0.00%
429738,94,0.00%
409366,205,0.00%
481435,120,0.00%
499257,112,0.00%
444493,143,0.00%
433287,156,0.00%
464887,138,0.00%
440150,156,0.00%
480364,120,0.00%
449500,187,0.00%
496862,120,0.00%
427746,99,0.00%
474257,125,0.00%
466426,156,0.00%
404297,68,0.00%
489662,151,0.00%
427358,81,0.00%
448322,112,0.00%
447978,94,0.00%
430363,130,0.00%
484365,107,0.00%
420825,81,0.00%
449677,200,0.00%
466364,107,0.00%
468335,231,0.00%
478810,107,0.00%
463584,63,0.00%
428243,218,0.00%
427668,73,0.00%
401843,68,0.00%
421838,104,0.00%
495233,182,0.00%
449036,63,0.00%
441099,169,0.00%
494490,63,0.00%
431355,94,0.00%
474387,200,0.00%
497203,63,0.00%
409331,112,0.00%
492577,182,0.00%
446702,94,0.00%
406192,112,0.00%
458150,94,0.00%
458785,107,0.00%
410445,174,0.00%
462447,169,0.00%
448446,231,0.00%
475630,125,0.00%
410768,55,0.00%
496424,151,0.00%
443819,81,0.00%
432959,94,0.00%
417249,86,0.00%
493496,169,0.00%
499324,182,0.00%
423410,174,0.00%
410131,161,0.00%
462907,169,0.00%
489480,37,0.00%
437800,63,0.00%
402576,161,0.00%
411317,112,0.00%
433032,143,0.00%
489440,89,0.00%
452417,112,0.00%
465348,76,0.00%
420794,68,0.00%
464630,138,0.00%
462550,81,0.00%
467953,169,0.00%
495033,213,0.00%
447078,156,0.00%
474145,99,0.00%
453182,107,0.00%
405863,117,0.00%
422416,143,0.00%
453455,63,0.00%
492136,63,0.00%
498046,350,0.00%
402050,68,0.00%
426386,99,0.00%
479691,169,0.00%
435009,187,0.00%
481462,107,0.00%
473186,107,0.00%
472159,138,0.00%
442698,94,0.00%
421144,205,0.00%
472892,244,0.00%
432177,99,0.00%
458944,81,0.00%
475469,125,0.00%
481321,68,0.00%
429802,143,0.00%
402734,112,0.00%
471564,125,0.00%
495151,120,0.00%
461355,200,0.00%
474020,63,0.00%
495527,213,0.00%
429307,249,0.00%
406879,60,0.00%
480432,182,0.00%
441279,200,0.00%
497888,89,0.00%
424121,174,0.00%
463695,169,0.00%
489170,200,0.00%
416256,50,0.00%
499568,112,0.00%
491220,182,0.00%
480469,169,0.00%
479258,138,0.00%
464055,182,0.00%
461930,50,0.00%
490271,151,0.00%
436214,187,0.00%
442454,125,0.00%
411414,218,0.00%
409105,81,0.00%
412457,86,0.00%
408184,117,0.00%
422400,143,0.00%
431605,143,0.00%
437986,143,0.00%
425134,81,0.00%
403168,68,0.00%
470963,169,0.00%
424316,81,0.00%
415015,174,0.00%
404316,68,0.00%
453623,125,0.00%
459721,55,0.00%
484748,89,0.00%
494902,120,0.00%
457608,55,0.00%
408868,161,0.00%
496424,151,0.42%
446777,187,0.41%
462951,107,0.41%
495991,182,0.41%
475823,99,0.41%
443420,231,0.41%
413074,81,0.41%
477705,169,0.40%
443176,94,0.40%
403344,68,0.40%
413918,143,0.40%
485631,151,0.40%
452585,138,0.40%
460850,81,0.40%
498088,45,0.39%
460769,156,0.39%
421077,143,0.39%
429692,218,0.39%
436582,125,0.39%
484038,138,0.39%
470688,138,0.38%
407544,112,0.38%
408353,112,0.38%
423529,156,0.38%
411860,81,0.38%
461977,138,0.38%
421076,143,0.38%
496608,125,0.37%
494705,151,0.37%
478684,182,0.37%
443302,81,0.37%
491128,138,0.37%
463288,169,0.37%
406253,60,0.37%
487118,319,0.36%
476937,138,0.36%
487500,89,0.36%
438019,174,0.36%
492468,63,0.36%
430675,174,0.36%
441363,94,0.36%
406385,205,0.36%
454132,107,0.35%
431775,280,0.35%
405062,161,0.35%
452220,94,0.35%
492544,58,0.35%
426139,280,0.35%
419738,55,0.35%
466952,125,0.35%
410176,130,0.34%
428252,125,0.34%
474497,169,0.34%
456357,156,0.34%
489608,120,0.34%
486357,63,0.34%
456160,156,0.34%
410683,174,0.34%
420791,68,0.34%
450864,68,0.33%
427194,37,0.33%
401919,236,0.33%
441992,125,0.33%
428308,73,0.33%
408172,117,0.33%
466936,94,0.33%
443071,324,0.33%
495672,120,0.33%
404954,60,0.32%
435539,156,0.32%
464174,76,0.32%
484145,169,0.32%
479751,107,0.32%
418305,130,0.32%
415919,236,0.32%
484813,213,0.32%
408351,174,0.32%
446289,156,0.32%
448778,112,0.31%
465917,138,0.31%
413241,143,0.31%
496782,182,0.31%
431995,94,0.31%
487738,182,0.31%
453138,143,0.31%
421603,174,0.31%
411920,112,0.31%
409297,205,0.31%
470113,76,0.30%
470538,107,0.30%
497988,63,0.30%
497307,138,0.30%
472458,138,0.30%
439979,156,0.30%
463441,231,0.30%
418456,161,0.30%
406915,60,0.30%
406512,148,0.30%
451955,112,0.30%
449696,63,0.29%
442051,293,0.29%
416128,143,0.29%
433840,68,0.29%
421801,249,0.29%
434433,156,0.29%
487586,94,0.29%
444441,117,0.29%
442785,293,0.29%
433875,68,0.29%
493219,143,0.29%
408701,143,0.29%
484943,213,0.28%
490000,89,0.28%
478523,76,0.28%
472680,76,0.28%
480964,94,0.28%
400125,91,0.28%
422426,143,0.28%
428087,99,0.28%
408065,174,0.28%
430791,143,0.28%
426075,125,0.28%
405371,112,0.28%
441075,169,0.28%
403880,99,0.27%
406639,236,0.27%
459531,107,0.27%
448622,156,0.27%
413151,143,0.27%
411485,174,0.27%
498319,213,0.27%
455202,63,0.27%
465440,138,0.27%
432158,143,0.27%
414829,135,0.27%
499874,151,0.27%
457571,63,0.27%
459270,231,0.27%
480485,213,0.26%
491446,169,0.26%
452489,138,0.26%
427012,73,0.26%
476388,182,0.26%
480315,151,0.26%
405534,112,0.26%
486894,200,0.26%
499106,151,0.26%
443487,169,0.26%
447146,156,0.26%
465019,143,0.26%
451552,112,0.26%
415763,135,0.26%
491094,76,0.26%
494750,182,0.25%
456838,262,0.25%
494975,63,0.25%
401388,91,0.25%
454196,63,0.25%
481423,68,0.25%
414539,130,0.25%
403507,112,0.25%
479741,169,0.25%
407567,143,0.25%
468948,107,0.25%
449726,50,0.25%
460224,76,0.25%
406647,112,0.25%
407296,112,0.25%
419493,156,0.25%
487132,63,0.24%
498742,138,0.24%
409808,174,0.24%
414143,187,0.24%
412955,161,0.24%
427950,125,0.24%
457504,81,0.24%
437675,187,0.24%
427055,210,0.24%
400990,161,0.24%
484821,89,0.24%
492074,151,0.24%
452542,231,0.24%
400584,68,0.24%
420994,81,0.24%
485119,138,0.24%
495249,182,0.24%
453795,231,0.23%
486507,169,0.23%
449444,112,0.23%
435217,81,0.23%
438873,143,0.23%
452952,112,0.23%
414958,174,0.23%
484267,169,0.23%
459726,55,0.23%
402510,236,0.23%
444490,143,0.23%
466373,169,0.23%
409806,174,0.23%
401810,112,0.23%
453504,63,0.23%
446374,187,0.23%
411618,130,0.23%
405473,161,0.23%
497156,120,0.23%
439568,99,0.22%
400803,68,0.22%
434830,156,0.22%
404449,205,0.22%
401794,143,0.22%
419650,156,0.22%
434350,205,0.22%
492163,63,0.22%
458061,94,0.22%
493171,143,0.22%
477281,244,0.22%
453310,63,0.22%
446965,94,0.22%
401614,143,0.22%
440580,156,0.22%
420008,81,0.22%
440487,293,0.22%
493532,76,0.22%
434966,218,0.22%
462580,138,0.22%
491084,76,0.22%
475303,182,0.21%
407070,86,0.21%
457456,107,0.21%
485109,182,0.21%
408880,143,0.21%
448786,94,0.21%
469309,125,0.21%
458325,138,0.21%
492086,107,0.21%
466464,50,0.21%
497894,89,0.21%
492890,138,0.21%
439120,37,0.21%
440169,187,0.21%
432510,112,0.21%
496598,138,0.21%
474519,99,0.21%
424672,81,0.21%
454658,107,0.21%
405515,174,0.21%
439780,94,0.21%
445794,63,0.21%
452480,156,0.20%
479221,169,0.20%
486375,94,0.20%
472489,151,0.20%
457534,231,0.20%
417732,81,0.20%
445281,94,0.20%
420113,81,0.20%
408816,161,0.20%
420584,68,0.20%
465010,169,0.20%
466272,63,0.20%
443519,117,0.20%
473890,200,0.20%
452885,156,0.20%
450655,94,0.20%
470042,138,0.20%
444970,94,0.20%
454945,200,0.20%
405761,205,0.20%
437859,68,0.20%
494066,182,0.20%
445930,156,0.20%
470369,200,0.20%
490663,94,0.20%
458276,187,0.19%
432868,94,0.19%
483147,120,0.19%
463791,182,0.19%
410474,81,0.19%
466768,169,0.19%
454098,231,0.19%
489695,182,0.19%
453142,156,0.19%
464413,63,0.19%
485055,76,0.19%
408700,143,0.19%
409693,174,0.19%
405167,99,0.19%
417516,112,0.19%
468104,275,0.19%
470178,200,0.19%
421615,205,0.19%
449450,50,0.19%
481894,120,0.19%
474500,244,0.19%
400104,117,0.19%
451935,112,0.19%
457296,200,0.19%
492876,213,0.19%
457696,107,0.19%
495156,32,0.19%
424767,205,0.19%
441453,231,0.18%
403350,68,0.18%
453256,107,0.18%
437555,125,0.18%
474045,200,0.18%
436403,143,0.18%
401345,117,0.18%
484519,213,0.18%
403170,68,0.18%
493270,151,0.18%
412039,112,0.18%
494139,169,0.18%
457682,107,0.18%
497094,58,0.18%
402838,112,0.18%
467376,231,0.18%
440088,156,0.18%
420355,81,0.18%
473306,99,0.18%
410265,81,0.18%
479797,68,0.18%
422755,81,0.18%
429985,143,0.18%
492123,107,0.18%
460686,156,0.18%
419747,55,0.18%
449418,50,0.18%
491389,120,0.18%
415269,135,0.18%
444573,143,0.18%
416155,280,0.18%
456722,200,0.17%
485751,182,0.17%
469412,81,0.17%
432103,99,0.17%
459795,94,0.17%
443641,218,0.17%
471276,200,0.17%
482141,120,0.17%
446811,94,0.17%
464545,138,0.17%
432006,218,0.17%
478776,120,0.17%
422227,249,0.17%
466927,76,0.17%
481614,200,0.17%
427429,73,0.17%
407014,60,0.17%
439795,99,0.17%
438561,156,0.17%
455106,112,0.17%
457418,107,0.17%
461317,76,0.17%
485091,138,0.17%
449540,50,0.17%
459829,156,0.17%
404837,68,0.17%
498959,89,0.17%
489044,37,0.17%
420107,55,0.17%
481358,94,0.17%
405199,86,0.17%
414655,174,0.17%
404934,60,0.17%
412437,81,0.17%
446759,262,0.17%
464730,76,0.16%
456078,55,0.16%
418034,205,0.16%
484697,151,0.16%
440715,125,0.16%
420405,218,0.16%
416702,218,0.16%
419490,156,0.16%
442632,94,0.16%
421455,174,0.16%
438930,174,0.16%
407887,192,0.16%
428469,81,0.16%
478726,76,0.16%
446449,94,0.16%
483575,213,0.16%
473970,169,0.16%
445592,68,0.16%
406492,42,0.16%
423510,55,0.16%
443247,81,0.16%
411329,112,0.16%
422468,104,0.16%
432291,68,0.16%
469263,244,0.32%
441652,125,0.32%
475317,138,0.32%
421745,130,0.32%
446587,138,0.31%
425580,125,0.31%
406330,205,0.31%
449143,200,0.31%
481658,213,0.31%
462191,187,0.31%
433839,218,0.31%
460199,138,0.31%
482596,68,0.31%
488368,89,0.31%
417515,112,0.31%
463055,231,0.31%
409823,205,0.31%
456445,156,0.31%
470942,125,0.31%
476119,257,0.31%
472997,200,0.31%
455217,192,0.31%
459694,81,0.31%
446967,293,0.31%
400808,117,0.31%
466186,63,0.30%
408303,112,0.30%
481883,68,0.30%
415341,112,0.30%
468598,63,0.30%
414173,174,0.30%
422431,86,0.30%
410249,236,0.30%
427316,73,0.30%
444176,37,0.30%
494663,89,0.30%
452896,156,0.30%
488333,37,0.30%
443805,94,0.30%
472380,50,0.30%
450523,231,0.30%
415470,112,0.30%
432578,205,0.30%
470945,107,0.30%
441665,125,0.30%
487920,226,0.30%
433999,249,0.30%
489315,76,0.29%
482191,120,0.29%
442768,94,0.29%
465433,169,0.29%
493015,213,0.29%
497985,89,0.29%
462953,81,0.29%
477808,81,0.29%
436620,187,0.29%
466965,125,0.29%
486111,94,0.29%
418502,112,0.29%
420133,81,0.29%
454708,94,0.29%
470502,50,0.29%
442564,94,0.29%
402783,112,0.29%
497818,213,0.29%
424566,81,0.29%
497447,120,0.29%
450713,112,0.29%
412898,68,0.29%
479078,138,0.29%
460919,81,0.29%
401247,143,0.28%
494549,94,0.28%
431323,81,0.28%
472192,107,0.28%
436213,99,0.28%
419242,143,0.28%
444018,143,0.28%
425527,236,0.28%
401432,161,0.28%
424612,205,0.28%
428786,73,0.28%
432273,187,0.28%
422596,143,0.28%
491740,107,0.28%
410080,174,0.28%
497043,151,0.28%
496531,151,0.28%
434017,125,0.28%
453371,156,0.28%
416663,135,0.28%
426551,112,0.28%
423872,174,0.28%
459227,200,0.28%
429335,112,0.28%
459516,81,0.28%
483793,94,0.28%
464608,169,0.27%
448055,94,0.27%
434517,42,0.27%
443685,218,0.27%
408973,130,0.27%
473591,151,0.27%
438233,156,0.27%
440296,125,0.27%
445783,156,0.27%
412272,174,0.27%
459538,200,0.27%
427627,73,0.27%
475626,76,0.27%
498798,213,0.27%
452239,125,0.27%
404412,99,0.27%
431070,280,0.27%
412661,81,0.27%
433978,125,0.27%
478978,169,0.27%
409704,130,0.27%
430508,174,0.27%
412994,174,0.27%
400901,68,0.27%
447172,94,0.27%
439546,218,0.27%
424774,81,0.27%
406398,218,0.26%
406707,60,0.26%
484290,169,0.26%
428018,55,0.26%
471315,107,0.26%
432345,218,0.26%
400361,143,0.26%
414999,112,0.26%
479145,319,0.26%
473953,200,0.26%
453233,107,0.26%
419441,143,0.26%
457562,63,0.26%
403331,68,0.26%
416805,112,0.26%
485189,89,0.26%
478958,244,0.26%
415602,205,0.26%
475254,125,0.26%
483370,138,0.26%
484500,169,0.26%
487915,125,0.26%
417347,55,0.26%
401303,130,0.26%
435445,94,0.26%
447855,262,0.26%
414297,112,0.26%
436347,187,0.26%
432853,42,0.26%
491670,182,0.26%
498948,151,0.25%
477079,76,0.25%
498377,112,0.25%
483237,213,0.25%
442923,231,0.25%
407517,143,0.25%
453408,63,0.25%
443284,94,0.25%
422517,156,0.25%
432553,187,0.25%
455063,262,0.25%
413576,81,0.25%
489821,182,0.25%
450451,231,0.25%
416907,174,0.25%
406625,60,0.25%
435639,174,0.25%
495865,213,0.25%
460055,156,0.25%
448719,125,0.25%
417060,161,0.25%
444554,50,0.25%
436634,187,0.25%
472234,107,0.25%
483684,138,0.25%
472079,125,0.25%
457916,55,0.25%
435807,94,0.25%
446252,156,0.25%
490769,195,0.25%
427477,99,0.25%
445199,156,0.25%
467847,169,0.24%
463680,76,0.24%
466263,107,0.24%
448596,187,0.24%
471198,107,0.24%
457497,200,0.24%
429707,143,0.24%
431541,187,0.24%
490050,76,0.24%
484770,89,0.24%
445117,169,0.24%
417696,81,0.24%
435221,50,0.24%
499851,138,0.24%
424322,81,0.24%
408686,143,0.24%
433542,187,0.24%
484377,107,0.24%
457406,81,0.24%
450602,63,0.24%
466757,107,0.24%
431866,81,0.24%
460663,169,0.24%
450440,156,0.24%
441771,156,0.24%
418578,130,0.24%
486247,244,0.24%
425850,81,0.24%
447173,94,0.24%
451550,138,0.24%
471049,151,0.24%
452847,231,0.24%
415230,112,0.24%
475138,76,0.24%
401442,161,0.24%
424254,249,0.23%
432635,68,0.23%
431149,187,0.23%
455795,55,0.23%
460511,138,0.23%
453746,68,0.23%
438738,68,0.23%
478208,94,0.23%
488967,182,0.23%
438588,156,0.23%
402529,117,0.23%
435479,143,0.23%
472130,50,0.23%
424732,81,0.23%
430711,55,0.23%
460559,125,0.23%
491489,244,0.23%
400403,161,0.23%
459048,200,0.23%
479755,94,0.23%
442175,125,0.23%
477626,76,0.23%
466001,169,0.23%
468025,169,0.23%
462625,76,0.23%
417551,205,0.23%
476900,120,0.23%
415471,236,0.23%
470608,169,0.23%
452038,107,0.23%
454741,63,0.23%
494862,213,0.23%
422499,143,0.23%
485890,182,0.23%
488483,37,0.23%
483010,151,0.23%
439635,187,0.23%
427220,73,0.22%
499044,151,0.22%
466428,156,0.22%
403634,68,0.22%
401572,143,0.22%
439734,99,0.22%
475765,169,0.22%
426304,187,0.22%
408271,218,0.22%
474150,99,0.22%
455619,81,0.22%
408675,99,0.22%
433197,143,0.22%
435373,187,0.22%
488677,226,0.22%
448649,231,0.22%
439201,187,0.22%
494528,94,0.22%
449100,200,0.22%
494579,63,0.22%
471427,200,0.22%
464572,156,0.22%
465186,76,0.22%
461291,200,0.22%
419312,143,0.22%
497874,120,0.22%
483790,125,0.22%
443028,81,0.22%
424182,81,0.22%
404626,267,0.22%
420490,104,0.33%
451402,138,0.33%
403669,68,0.33%
424744,99,0.33%
455036,200,0.33%
443069,231,0.32%
464478,138,0.32%
468627,125,0.32%
407199,174,0.32%
410576,55,0.32%
480603,68,0.32%
462819,76,0.32%
419251,55,0.32%
451626,156,0.32%
436018,187,0.32%
445754,68,0.32%
400274,117,0.32%
475219,76,0.32%
440281,156,0.32%
449375,138,0.32%
407623,112,0.32%
449534,112,0.32%
451773,138,0.32%
472809,125,0.32%
448652,187,0.32%
408911,205,0.32%
408508,218,0.32%
432441,94,0.32%
489766,182,0.32%
432690,94,0.32%
474894,76,0.32%
410255,166,0.32%
421918,130,0.32%
416390,112,0.32%
472827,125,0.31%
414781,55,0.31%
459459,169,0.31%
475131,231,0.31%
483408,138,0.31%
466658,169,0.31%
485707,89,0.31%
401837,236,0.31%
467303,138,0.31%
442784,112,0.31%
453463,187,0.31%
403321,130,0.31%
488538,138,0.31%
453738,63,0.31%
416366,130,0.31%
466645,169,0.31%
440939,169,0.31%
423990,130,0.31%
416179,68,0.31%
430538,112,0.31%
434625,187,0.31%
402657,161,0.31%
439449,94,0.31%
480961,68,0.31%
472925,125,0.31%
429214,187,0.31%
451477,112,0.31%
447819,94,0.31%
477297,76,0.31%
473396,63,0.31%
464209,138,0.31%
450123,86,0.30%
488177,89,0.30%
423667,81,0.30%
425253,81,0.30%
409410,68,0.30%
428151,99,0.30%
448787,94,0.30%
411247,205,0.30%
433281,143,0.30%
491571,244,0.30%
464711,200,0.30%
436602,81,0.30%
417935,187,0.30%
456275,231,0.30%
490795,151,0.30%
484580,169,0.30%
435040,94,0.30%
452611,156,0.30%
438585,143,0.30%
465578,24,0.30%
425063,311,0.30%
441242,156,0.30%
442853,143,0.30%
406023,143,0.30%
414167,81,0.30%
472067,125,0.30%
457500,107,0.30%
499813,138,0.30%
487190,94,0.30%
468722,182,0.30%
464021,125,0.30%
475139,76,0.30%
494725,195,0.30%
425514,143,0.29%
400392,117,0.29%
404135,236,0.29%
491492,169,0.29%
449179,231,0.29%
453209,112,0.29%
424772,81,0.29%
478576,76,0.29%
455746,81,0.29%
499201,138,0.29%
496511,213,0.29%
449847,86,0.29%
489996,89,0.29%
481091,213,0.29%
484887,319,0.29%
480433,205,0.29%
457502,107,0.29%
450464,86,0.29%
405495,86,0.29%
436571,324,0.29%
493317,169,0.29%
449345,50,0.29%
450738,63,0.29%
403210,73,0.29%
406845,112,0.29%
488377,120,0.29%
428226,218,0.29%
475567,76,0.29%
452397,112,0.29%
403365,73,0.29%
408118,174,0.29%
415737,205,0.29%
441584,68,0.29%
412253,130,0.29%
407228,236,0.29%
428589,125,0.29%
403288,161,0.28%
432001,187,0.28%
407164,174,0.28%
496862,120,0.38%
469028,169,0.38%
403675,112,0.38%
446708,112,0.38%
459023,200,0.38%
422592,50,0.38%
431595,218,0.38%
477283,120,0.38%
417920,143,0.38%
419885,143,0.38%
420604,218,0.38%
454491,107,0.37%
451029,112,0.37%
469950,107,0.37%
443055,81,0.37%
454239,156,0.37%
414621,161,0.37%
431431,143,0.37%
420291,249,0.37%
428014,55,0.37%
483828,244,0.37%
423656,143,0.37%
436132,99,0.37%
437391,187,0.37%
465240,138,0.37%
486212,138,0.37%
444620,143,0.37%
493829,89,0.37%
489501,195,0.37%
414447,174,0.37%
438820,68,0.37%
486362,213,0.37%
483475,213,0.37%
480322,94,0.37%
433069,68,0.37%
480325,120,0.37%
402913,117,0.37%
402490,236,0.37%
495434,164,0.37%
420833,130,0.37%
422376,104,0.36%
416037,205,0.36%
413151,143,0.46%
473405,125,0.45%
485987,182,0.45%
456206,138,0.45%
465470,81,0.45%
400607,298,0.45%
487638,182,0.45%
485761,94,0.45%
466449,125,0.45%
409291,130,0.45%
409417,68,0.45%
402580,161,0.45%
446683,138,0.45%
412483,130,0.45%
488793,89,0.45%
429129,99,0.45%
444139,187,0.45%
478293,107,0.45%
481403,156,0.45%
482959,120,0.45%
402480,42,0.45%
464877,169,0.45%
463280,169,0.45%
473376,63,0.45%
483028,120,0.45%
404019,205,0.45%
475867,169,0.44%
478461,182,0.44%
462679,200,0.44%
436069,68,0.44%
432325,68,0.44%
475830,76,0.44%
409473,174,0.44%
456138,156,0.44%
432036,280,0.44%
412769,192,0.44%
494573,94,0.44%
419673,174,0.44%
498530,58,0.44%
461021,275,0.44%
428964,99,0.44%
445773,262,0.44%
463601,63,0.44%
413473,86,0.44%
496084,182,0.44%
452393,138,0.44%
442602,94,0.44%
440222,187,0.44%
468512,50,0.44%
424004,81,0.44%
461007,200,0.44%
408818,86,0.44%
426708,187,0.43%
462113,50,0.43%
482195,213,0.43%
447562,63,0.43%
466132,125,0.43%
495888,58,0.43%
463850,187,0.43%
428810,99,0.43%
431956,50,0.43%
496175,138,0.43%
442467,94,0.43%
479256,138,0.43%
452312,138,0.43%
474503,125,0.43%
492025,169,0.43%
446884,94,0.43%
432002,218,0.43%
428380,73,0.43%
407904,86,0.43%
460966,138,0.43%
411980,112,0.43%
409332,174,0.43%
412266,130,0.43%
408063,267,0.43%
461725,156,0.43%
454868,63,0.43%
486112,138,0.43%
468064,125,0.42%
416699,112,0.42%
484945,213,0.42%
476882,125,0.42%
481234,368,0.42%
447057,94,0.42%
496903,120,0.42%
428795,187,0.42%
451015,231,0.42%
492790,182,0.42%
492645,63,0.42%
417651,205,0.42%
424745,143,0.42%
426645,73,0.42%
460118,156,0.42%
441827,63,0.42%
478958,244,0.50%
472447,76,0.50%
433851,81,0.50%
463668,169,0.50%
404448,205,0.50%
400058,91,0.50%
471573,125,0.50%
403241,161,0.50%
449865,218,0.50%
418731,112,0.50%
415507,236,0.50%
495755,195,0.50%
480456,169,0.50%
408201,205,0.50%
481866,120,0.50%
486346,94,0.50%
424900,50,0.50%
404636,197,0.50%
463228,112,0.50%
406133,249,0.50%
489520,120,0.49%
460130,138,0.49%
434929,42,0.49%
440534,169,0.49%
490747,151,0.49%
465400,81,0.49%
458185,55,0.49%
415491,236,0.49%
492046,138,0.49%
456130,94,0.49%
495146,32,0.49%
408829,143,0.49%
428576,99,0.49%
466823,76,0.49%
472497,138,0.49%
433025,187,0.49%
466881,107,0.49%
481896,68,0.49%
436266,68,0.49%
454572,200,0.49%
400626,117,0.49%
489600,45,0.49%
450326,112,0.49%
418909,143,0.49%
497801,120,0.49%
470018,76,0.48%
405254,143,0.48%
422701,156,0.48%
474654,138,0.48%
468482,156,0.48%
428834,125,0.48%
464173,76,0.48%
466439,156,0.48%
401589,68,0.48%
404706,161,0.48%
457185,107,0.48%
404816,86,0.48%
400718,91,0.48%
410502,236,0.48%
496862,120,0.56%
456848,94,0.56%
405647,161,0.56%
405690,205,0.56%
485424,45,0.56%
410297,174,0.56%
478187,120,0.56%
456275,231,0.64%
477178,169,0.63%
497910,89,0.63%
492541,182,0.63%
431750,99,0.63%
498536,58,0.63%
419966,81,0.63%
419902,143,0.63%
417444,174,0.63%
417767,86,0.63%
489921,182,0.63%
422699,81,0.63%
440468,169,0.63%
464574,156,0.63%
429007,73,0.63%
407128,99,0.63%
466574,244,0.63%
495446,213,0.63%
446545,187,0.63%
409106,267,0.63%
490457,182,0.63%
451361,231,0.62%
409824,86,0.62%
438786,94,0.62%
448222,94,0.62%
404498,267,0.62%
482260,94,0.62%
491739,257,0.62%
427749,99,0.62%
492557,213,0.62%
407751,205,0.62%
484024,89,0.62%
407561,68,0.62%
405660,68,0.62%
414391,86,0.62%
477138,125,0.62%
404196,99,0.62%
434357,94,0.62%
497040,151,0.62%
421640,130,0.62%
452124,63,0.62%
486960,37,0.62%
482166,120,0.61%
430418,99,0.61%
489361,213,0.61%
411173,86,0.61%
475374,138,0.61%
455934,125,0.61%
444445,117,0.61%
421918,130,0.69%
465040,125,0.69%
472729,151,0.69%
473279,213,0.69%
412691,174,0.69%
449341,187,0.69%
459327,169,0.68%
417189,81,0.68%
431600,143,0.68%
488892,138,0.68%
444938,112,0.68%
461984,50,0.68%
496643,213,0.68%
466789,50,0.68%
469545,107,0.68%
402303,143,0.68%
481180,76,0.68%
484509,169,0.68%
406499,205,0.68%
453363,200,0.68%
481548,50,0.68%
465966,169,0.68%
443314,94,0.68%
406334,205,0.68%
485959,89,0.68%
473732,213,0.68%
495695,164,0.67%
497132,151,0.67%
449105,138,0.67%
451628,63,0.67%
479403,213,0.67%
408849,81,0.67%
454494,112,0.67%
452131,63,0.67%
419954,81,0.67%
467185,169,0.67%
401471,91,0.67%
417107,161,0.67%
484375,107,0.67%
470899,125,0.67%
405998,68,0.67%
467139,244,0.67%
432882,125,0.67%
402641,117,0.67%
471754,138,0.67%
440253,187,0.67%
404944,60,0.66%
490760,195,0.66%
424761,81,0.66%
449270,112,0.66%
444123,143,0.66%
444135,231,0.66%
453062,63,0.66%
425263,249,0.66%
450469,231,0.66%
439020,125,0.66%
498995,226,0.66%
446163,63,0.66%
473978,63,0.66%
485927,182,0.66%
435617,94,0.66%
453381,63,0.66%
432602,68,0.66%
490112,63,0.66%
443338,81,0.66%
452557,138,0.66%
495123,89,0.66%
482637,244,0.65%
469664,45,0.65%
479497,169,0.65%
453535,249,0.65%
475663,125,0.65%
484463,151,0.65%
486417,63,0.65%
478304,107,0.65%
456216,107,0.65%
464496,76,0.65%
421074,130,0.65%
446976,156,0.65%
489257,76,0.65%
408170,86,0.65%
428925,125,0.65%
433391,205,0.65%
499059,226,0.65%
454188,231,0.65%
483861,94,0.65%
438079,218,0.65%
491009,120,0.65%
467850,138,0.64%
449883,223,0.64%
414761,236,0.64%
